country,province,area,zone,munic,code,price_raw
ES,01,01,001,059,1059,287.5
ES,01,02,001,001,1001,175.0
ES,01,02,001,021,1021,600.0
ES,01,04,001,031,1031,250.0
ES,01,05,001,901,1901,200.0
ES,01,06,001,002,1002,260.0
ES,01,06,001,036,1036,225.0
ES,02,01,001,003,2003,175.0
ES,02,01,003,029,2029,125.0
ES,02,01,003,039,2039,150.0
ES,02,02,001,069,2069,155.0
ES,02,02,003,081,2081,180.0
ES,02,05,001,037,2037,175.0
ES,03,01,001,137,3137,300.0
ES,03,01,002,063,3063,200.0
ES,03,01,003,138,3138,130.0
ES,03,01,004,082,3082,250.0
ES,03,01,006,047,3047,250.0
ES,03,01,007,026,3026,200.0
ES,03,01,007,030,3030,250.0
ES,03,01,007,110,3110,275.0
ES,03,01,009,095,3095,200.0
ES,03,01,010,041,3041,350.0
ES,03,01,012,071,3071,190.0
ES,03,02,001,098,3098,180.0
ES,03,02,001,127,3127,400.0
ES,03,02,002,018,3018,250.0
ES,03,02,003,031,3031,300.0
ES,03,02,004,069,3069,250.0
ES,03,02,005,139,3139,225.0
ES,03,02,006,011,3011,250.0
ES,03,02,007,094,3094,250.0
ES,03,03,001,014,3014,205.0
ES,03,03,003,122,3122,200.0
ES,03,03,004,090,3090,195.0
ES,03,03,005,119,3119,200.0
ES,03,03,006,050,3050,245.0
ES,03,04,001,065,3065,199.0
ES,03,04,005,059,3059,190.0
ES,03,04,006,662,3662,250.0
ES,03,04,007,612,3612,177.0
ES,03,04,008,615,3615,247.5
ES,03,05,002,076,3076,250.0
ES,03,05,003,133,3133,200.0
ES,03,05,004,099,3099,230.0
ES,03,05,009,902,3902,230.0
ES,03,05,010,903,3903,180.0
ES,03,05,015,111,3111,150.0
ES,03,05,016,005,3005,260.0
ES,03,07,002,009,3009,150.0
ES,03,07,003,079,3079,195.0
ES,03,08,002,140,3140,170.0
ES,03,09,001,093,3093,160.0
ES,03,09,002,066,3066,180.0
ES,03,09,003,104,3104,200.0
ES,04,01,002,053,4053,250.0
ES,04,04,001,079,4079,182.5
ES,04,04,002,902,4902,180.0
ES,04,04,004,102,4102,160.0
ES,04,04,011,038,4038,100.0
ES,04,05,001,099,4099,300.0
ES,04,06,002,069,4069,275.0
ES,04,10,001,013,4013,200.0
ES,04,10,002,052,4052,175.0
ES,05,01,001,016,5016,150.0
ES,05,02,001,019,5019,165.0
ES,05,03,001,057,5057,250.0
ES,05,03,001,906,5906,250.0
ES,05,04,001,014,5014,120.0
ES,05,04,002,182,5182,150.0
ES,05,05,001,257,5257,190.0
ES,06,01,002,015,6015,150.0
ES,06,02,002,083,6083,135.0
ES,06,02,003,025,6025,130.0
ES,06,03,001,044,6044,115.0
ES,06,03,002,153,6153,120.0
ES,06,04,001,019,6019,260.0
ES,06,06,002,011,6011,130.0
ES,07,01,001,040,7040,350.0
ES,07,01,003,020,7020,320.0
ES,07,01,004,006,7006,300.0
ES,07,01,006,031,7031,425.0
ES,07,01,007,036,7036,312.5
ES,07,01,008,011,7011,400.0
ES,07,01,009,628,7628,400.0
ES,07,01,013,027,7027,370.0
ES,07,01,014,016,7016,300.0
ES,07,01,014,017,7017,265.0
ES,07,01,014,047,7047,400.0
ES,07,01,016,061,7061,400.0
ES,07,01,018,010,7010,500.0
ES,07,01,019,013,7013,250.0
ES,07,01,021,022,7022,445.0
ES,07,01,022,003,7003,325.0
ES,07,01,024,055,7055,350.0
ES,07,01,026,044,7044,280.0
ES,07,01,029,056,7056,370.0
ES,07,01,030,012,7012,450.0
ES,07,01,030,058,7058,275.0
ES,07,01,031,039,7039,350.0
ES,07,02,001,050,7050,500.0
ES,07,02,002,054,7054,500.0
ES,07,02,003,046,7046,387.5
ES,07,02,003,645,7645,500.0
ES,07,02,004,026,7026,500.0
ES,07,02,005,048,7048,500.0
ES,07,03,001,032,7032,300.0
ES,07,03,002,002,7002,250.0
ES,07,03,003,037,7037,250.0
ES,07,03,004,015,7015,285.0
ES,07,03,006,052,7052,325.0
ES,07,04,001,024,7024,600.0
ES,08,01,001,035,8035,300.0
ES,08,01,002,006,8006,282.5
ES,08,01,003,121,8121,290.0
ES,08,01,004,219,8219,305.0
ES,08,01,005,118,8118,370.0
ES,08,01,006,003,8003,320.0
ES,08,01,007,197,8197,350.0
ES,08,01,008,110,8110,272.5
ES,08,01,009,172,8172,350.0
