author,text,source,date,url
LauraM,"Hola! Quería escribir más adelante para comentar mi caso, pero ya que habéis abierto este post comentaros que yo también me operé con Margalet de ambas caderas a la vez en junio y la verdad que todo muy bién. No me arrepiento para nada, al contrario, zero dolor y mejora muy notable en mobilidad. y muy bién la operación bilateral. Temía el postoperatorio por temas obvios de mobilidad y autonomía y he de decie que des del primer día me las apañé sin problemas sin apenas ayuda, ni para vestirme, ni para hacerme la comida, ni para ducharme (tengo dos bañeras y me tuve que comprar un banco de transferencia y la verdad que genial). Supongo que el no saber estar parada ni un minuto y el orgullo jeje ayudaron en ello. en resumen, contenta con la intervención. Tenía choque tipo CAM con el labrum desprendido en la derecha (sólo un arpón) y en la izquierda a punto de desprenderse. El cartílago estaba bién. Saludos a todos y mucha suerte",elatleta.com,22/02/2014,http://www.elatleta.com/foro/showthread.php?154965-operados-con-margalet-resultados
sil79,"Hola. A mi me operó Margalet hace 4 años de desprendimiento de labrum, cartilago intactoy la verdad estoy peor. Ya que se me ha vuelto a desprender  y encim a causa de la intervencion me han causado una distension de la capsula articular y psoas con lo cual tengo mas inestabilidad que antes de operarme. Y no sé que hacer porque la rehabilitación fué larga y dura y encima me dejarón fibrosis del tensor de la fascia lata. Así que a mi no me dejó bien. Correr me es imposible y la bici a temporadas",elatleta.com,18/04/2014,http://www.elatleta.com/foro/showthread.php?154965-operados-con-margalet-resultados
sil79,"Pues tengo sintomas parecidos. Pero sobretodo dolor en la zona de la articulacion por la parte frontal. Aclararte que yo no tengo ningún choque lo mío fue por un salto mientras corría con una caída mala. Margalet me dijo que me haria una plicaturq capsular y cosería otra vez. Es que si no lo haces la artrosis a corto plazo es segura, corras o no. Entonces prefiero pasar 6 meses o un año jodida que toda la vida. Te cuento que soy enfermera y estoy muy metida en todo esto. La inestabilidad de la cadera por rotura de labrum no se puede reemplazar por la musculatura ya que la parte anterior de la cadera ya esta menos protegida de por si, solo tiene capsula, labrum y psoas no como pa parte de atras. Y el labrum es la parte dura de esa contencion que evita que ademas choque contra hueso. Así que yo lo intentaré otra vez. He visto demasiadas artrosis de cadera... en casa y en el trabajo. Si tu amigo me puede aconsejar algo bienvenido sea. Gracias por tu interés y ayuda. Un saludo.",elatleta.com,23/04/2014,http://www.elatleta.com/foro/showthread.php?154965-operados-con-margalet-resultados
nanai,"[QUOTE=sil79;5938212]Pues tengo sintomas parecidos. Pero sobretodo dolor en la zona de la articulacion por la parte frontal. Aclararte que yo no tengo ningún choque lo mío fue por un salto mientras corría con una caída mala. Margalet me dijo que me haria una plicaturq capsular y cosería otra vez. Es que si no lo haces la artrosis a corto plazo es segura, corras o no. Entonces prefiero pasar 6 meses o un año jodida que toda la vida. Te cuento que soy enfermera y estoy muy metida en todo esto. La inestabilidad de la cadera por rotura de labrum no se puede reemplazar por la musculatura ya que la parte anterior de la cadera ya esta menos protegida de por si, solo tiene capsula, labrum y psoas no como pa parte de atras. Y el labrum es la parte dura de esa contencion que evita que ademas choque contra hueso. Así que yo lo intentaré otra vez. He visto demasiadas artrosis de cadera... en casa y en el trabajo. Si tu amigo me puede aconsejar algo bienvenido sea. Gracias por tu interés y ayuda. Un saludo.[/QUOTE",elatleta.com,23/04/2014,http://www.elatleta.com/foro/showthread.php?154965-operados-con-margalet-resultados
kassyana,Hola wapa laura. Yo soy de san sebastián y yo tb empecé con trocanteritis en la ida y después de 10 meses ya me salió de todo el.trocanteritis bilateral contractual pirámide......enfin. Ahora a estoy qué ando cómo estas una abuela se de 100 .me fa miedo ir hasta bcn por la vuelta. Feliz postoperatorio y verme luego las en mi ciudad. Tan lejos. Sí me para algo. Estoy qué dudando entre. Margalet y. Y te. He visto. A Margalet pero. Tengo miedo ir dr equivocarme,elatleta.com,01/06/2014,http://www.elatleta.com/foro/showthread.php?154965-operados-con-margalet-resultados
eurom,"Uno se pone a leer lo que Margalet escribe de su super técnica out-inside y luego te encuentras con él y crees estar viendo al médico que te entiende y te va a solucionar los problemas. Después de operado (y pagado con antelación) viene la verdad que por lo que empiezo a descubrir, además de mi caso, suele ser bastante miserable.",elatleta.com,25/10/2014,http://www.elatleta.com/foro/showthread.php?154965-operados-con-margalet-resultados/page2&s=2923205e18ee68af41dbeb3c61b3fabb
lola81,"Yo no digo que Margalet sea mal cirujano ( es más creo que es bueno), pero que su técnica no esta dando buenos resultados (esto no lo digo yo, lo dicen colegas suyos) aún prometiendo a gente con artrosis que con su técnica es posible la artroscopia. ",elatleta.com,25/10/2014,http://www.elatleta.com/foro/showthread.php?154965-operados-con-margalet-resultados/page2&s=2923205e18ee68af41dbeb3c61b3fabb
gaudilandia,"Conocí el nombre de Margalet a través de éste foro donde mucha gente cuenta maravillas de éste médico. Estoy convencido que ha salvado a gente de ponerse prótesis. Además le eligieron ""instituto de referencia"" en varias ocasiones, por algo será.",elatleta.com,12/11/2014,http://www.elatleta.com/foro/showthread.php?154965-operados-con-margalet-resultados/page2&s=2923205e18ee68af41dbeb3c61b3fabb
eurom,"En este foro no son muchos los que cuentan maravillas. Mas bien al contrario. Mas bien hablamos los que nos hemos creído esas maravillas. Si vagas un poco por internet, verás que todos los institutos y clínicas te venden grandes logros y grandes referencias. Si tuviera un negocio,  también lo haría. Todos hemos ido a ese instituto de referencia...¿Le has dicho a Margalet que un año después de su recomendación te han puesto prótesis? Yo sí (no me la han puesto todavía pero si que cuando ya no aguante o me canse de analgésicos). Sin respuesta, claro.  No me entra en la cabeza que, viendo tu caso, todavía reconozcas su trabajo. No veo la calidad por ningún lado pero bueno...",elatleta.com,12/11/2014,http://www.elatleta.com/foro/showthread.php?154965-operados-con-margalet-resultados/page2&s=2923205e18ee68af41dbeb3c61b3fabb
eurom,Hola de nuevo sil: tú conoces a algún médico q reconozca q se ha equivocado? Hay mucho dinero en juego. Tú crees q en sus congresos van a decirles a los rivales traumas lo q les sale mal? Esto es un negocio. Cuantas personas dependen d q margalet opere? Cuando volví a revisión con la cadera tiesa fueron capaces d decirme q en su lugar doblara la espalda. T sientes humillado y ridículo ante explicaciones q insultan tu inteligencia. Hay q tener mucho valor para reconocer q uno se ha equivocado y eso como mucho se hará si se ha actuado d buena fe. Si ésta no existiera ni te cuento. Un saludo,elatleta.com,09/04/2015,http://www.elatleta.com/foro/showthread.php?154965-operados-con-margalet-resultados/page4
